NORAD ID: 28885	 Latitude: -2.718510034042488 deg	 Longitude: 21.720986554749306 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 28899	 Latitude: 1.916675592090255 deg	 Longitude: 143.4053549188238 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 28912	 Latitude: -8.586835785548061 deg	 Longitude: 45.7750548711273 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 28924	 Latitude: 1.0181976499958352 deg	 Longitude: 173.96466543870633 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 28935	 Latitude: -0.016757613119921116 deg	 Longitude: -110.17293905125955 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 28945	 Latitude: -0.019509299770798155 deg	 Longitude: -29.97483577032529 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 29045	 Latitude: -0.10087867043532653 deg	 Longitude: 132.00905336743617 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 29055	 Latitude: -0.008158543591365468 deg	 Longitude: 19.171015234560386 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 29236	 Latitude: -0.015100668907136478 deg	 Longitude: -98.9788664444806 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 29270	 Latitude: -0.61588950515353 deg	 Longitude: 33.0585220610219 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 29272	 Latitude: 0.028399626163921766 deg	 Longitude: 127.98460266375666 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 29273	 Latitude: -0.8055858220828381 deg	 Longitude: 3.223152260292151 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 29349	 Latitude: -0.6798676267215364 deg	 Longitude: 113.04138904288602 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 29494	 Latitude: 1.5179149479313945 deg	 Longitude: -101.16057716814164 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 29495	 Latitude: -0.2727240819753139 deg	 Longitude: 152.0183022567814 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 29526	 Latitude: -0.8136249255242517 deg	 Longitude: 26.21047690243545 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 29643	 Latitude: 1.9176570857341932 deg	 Longitude: -111.1409307958084 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 30794	 Latitude: -3.7724992713137384 deg	 Longitude: 95.25006340551795 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 31102	 Latitude: 0.3028965670134906 deg	 Longitude: -118.71363596674522 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 31306	 Latitude: -0.3050186940262699 deg	 Longitude: 19.374250466662527 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 31307	 Latitude: 1.9013081259940143 deg	 Longitude: -84.96825114789961 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 31395	 Latitude: -5.197250638012122 deg	 Longitude: 84.3070392029672 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 31800	 Latitude: -1.1134825033090425 deg	 Longitude: 113.3985861102457 deg	 At 2025-07-06 00:00:00+00:00 UTC 
